dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
555,Reviewer6,Environmental Modeling and Software,10.1016/j.envsoft.2016.12.004,"Coll, M.; Steenbeek, J. (2017) Standardized ecological indicators to assess aquatic food webs: The ECOIND software plug-in for Ecopath with Ecosim models. Environmental Modelling and Software. 89, 120-130.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Hardware/Software requirements",Could not find data outside of paper.,,,,,,,,,,
377,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2016.12.006,"Wright, D.B.; Mantilla, R.; Peters-Lidard, C.D. (2017) A remote sensing-based tool for assessing rainfall-driven hazards. Environmental Modelling and Software. 90, 34-54.","Some or all applicable (available, third party request, author request)",Third Party Request,,"although the produced software is listed as free and Open-source release under version 3.0 of the GNU General Public License, it is currently available by request. ",,,,,,,,,,"although the produced software is listed as free and Open-source release under version 3.0 of the GNU General Public License, it is currently available by request. "
901,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.002,"Craven, J.; Angarita, H.; Corzo Perez, G.A.; Vasquez, D. (2017) Development and testing of a river basin management simulation game for integrated management of the Magdalena-Cauca river basin. Environmental Modelling and Software. 90, 78-88.",Not applicable - dataless paper/review paper,,,online game software,,,,,,,,,,
486,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.004,"Anagnostopoulos, V.; Petropoulos, G.P.; Ireland, G.; Carlson, T.N. (2017) A modernized version of a 1D soil vegetation atmosphere transfer model for improving its future use in land surface interactions studies. Environmental Modelling and Software. 90, 147-156.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",,,,,,,,,,,
465,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.019,"Plucinski, M.P.; Sullivan, A.L.; Rucinski, C.J.; Prakash, M. (2017) Improving the reliability and utility of operational bushfire behaviour predictions in Australian vegetation. Environmental Modelling and Software. 91, 1-12.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Hardware/Software requirements",The link to download the software is broken. https://research.csiro.au/amicus/download/,,,,,,,10,,,
215,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.020,"Donkin, E.; Dennis, P.; Ustalakov, A.; Warren, J.; Clare, A. (2017) Replicating complex agent based models, a formidable task. Environmental Modelling and Software. 92, 142-151.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Hardware/Software requirements,Common file format /instructions to open",Interesting paper! Tried to replecate an existing agent-based model in two new software languages. Links to two new model code. Little documentation to run. Unclear how to set up scenarios tested in paper,,,,,,,15,,,
471,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.023,"Humphrey, G.B.; Maier, H.R.; Wu, W.; Mount, N.J.; Dandy, G.C.; Abrahart, R.J.; Dawson, C.W. (2017) Improved validation framework and R-package for artificial neural network models. Environmental Modelling and Software. 92, 82-106.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open","R package with manual and github.  However, examples in paper are not examples in github",Not sure (unclear materials.....hard to follow),"Could generate some results, but don't appear to be the same in paper.",,avail,No- Terminate,,,,,
897,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.023,"Humphrey, G.B.; Maier, H.R.; Wu, W.; Mount, N.J.; Dandy, G.C.; Abrahart, R.J.; Dawson, C.W. (2017) Improved validation framework and R-package for artificial neural network models. Environmental Modelling and Software. 92, 82-106.",Not specified where they got the data/where data is,,,R package manual and details are present at github. The data/example used is not same as used in the paper. No data/code/instructions are available to reproduce results presented in the paper.,,,,repro,,,25,,,
3840,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.01.024,"Essawy, B.T.; Goodall, J.L.; Xu, H.; Gil, Y. (2017) Evaluation of the OntoSoft Ontology for describing metadata for legacy hydrologic modeling software. Environmental Modelling and Software. 92, 317-329.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Code/Model/Software,The sources for data used in the article are mentioned  but no links or additional information is provided,,,,,,,,,,
9608,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.001,"Khorashadi Zadeh, F.; Nossent, J.; Sarrazin, F.; Pianosi, F.; van Griensven, A.; Wagener, T.; Bauwens, W. (2017) Comparison of variance-based and moment-independent global sensitivity analysis approaches by application to the SWAT model. Environmental Modelling and Software. 91, 210-222.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data",The input data is present in forms of table and in the article.,Not sure (unclear materials.....hard to follow),"It looks like the results can be reproduced. Since I am not familiar with the model used, I am not sure if All the data that is needed to reproduced is available in the article",,avail,No- Terminate,,,,,
14913,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.001,"Khorashadi Zadeh, F.; Nossent, J.; Sarrazin, F.; Pianosi, F.; van Griensven, A.; Wagener, T.; Bauwens, W. (2017) Comparison of variance-based and moment-independent global sensitivity analysis approaches by application to the SWAT model. Environmental Modelling and Software. 91, 210-222.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Common file format /instructions to open","SWAT model for region itself is not available (links to dissertation, which doesn't include model)",,,,repro,,,30,,,
465,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.004,"Xu, G.; Zhu, X.; Fu, D.; Dong, J.; Xiao, X. (2017) Automatic land cover classification of geo-tagged field photos by deep learning. Environmental Modelling and Software. 91, 127-134.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"Only a link to the website from which study photos were gathered. No code, model, software, or instructions provided. ",,,,,,,5,,,
296,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.009,"Mala-Jetmarova, H.; Sultanova, N.; Savic, D. (2017) Lost in optimisation of water distribution systems? A literature review of system operation. Environmental Modelling and Software. 93, 209-254.",Not applicable - dataless paper/review paper,,,,,,,,,,5,,,
1365,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.015,"Waeytens, J.; Mahfoudhi, I.; Chabchoub, M.-A.; Chatellier, P. (2017) Adjoint-based numerical method using standard engineering software for the optimal placement of chlorine sensors in drinking water networks. Environmental Modelling and Software. 92, 229-238.",Not applicable - dataless paper/review paper,,,,,,,,,,,,,
1041,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.016,"Petheram, C.; Gallant, J.; Read, A. (2017) An automated and rapid method for identifying dam wall locations and estimating reservoir yield over large areas. Environmental Modelling and Software. 92, 189-201.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Code/Model/Software,Some of the data sources are mentioned. The software used/programming language are mentioned with no explicit details or directions to generate results,,,,,,,20,,,
411,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.025,"Rising, J.A. (2017) A flexible approach to model coupling through probabilistic pooling. Environmental Modelling and Software. 93, 409-417.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Code/Model/Software,Its really hard to know where the input data is in the GitHub repo and how to use it to reproduce the work presented in the paper,,,,,,,15,,,
1962,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.02.026,"Mustajoki, J.; Marttunen, M. (2017) Comparison of multi-criteria decision analytical software for supporting environmental planning processes. Environmental Modelling and Software. 93, 78-91.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Metadata to describe the code,This is a multi-criteria review paper so there is no code/software but rather supplementary metadata of the reviewed tools,,,,,,,20,,,the paper is not a dataless paper but rather a softwareless paper. So we need to revise the option for such papers
792,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.003,"Qin, R.; Lin, L.; Kuang, C.; Su, T.-C.; Mao, X.; Zhou, Y. (2017) A GIS-based software for forecasting pollutant drift on coastal water surfaces using fractional Brownian motion: A case study on red tide drift. Environmental Modelling and Software. 92, 252-260.","Some or all applicable (available, third party request, author request)",Author Request,,The software developed is available upon request from authors.,,,,,,,10,,,
69,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.011,"Merritt, W.S.; Fu, B.; Ticehurst, J.L.; El Sawah, S.; Vigiak, O.; Roberts, A.M.; Dyer, F.; Pollino, C.A.; Guillaume, J.H.A.; Croke, B.F.W.; Jakeman, A.J.; Basco-Carrera, L.; Warren, A.; van Beek, E.; Jonoski, A.; Giardino, A.; Kurtz, W.; Lapin, A.; Schilling, O.S.; Tang, Q.; Schiller, E.; Braun, T.; Hunkeler, D.; Vereecken, H.; Sudicky, E.; Kropf, P.; Hendricks Franssen, H.-J.; Brunner, P. (2017) Integrating hydrological modelling, data assimilation and cloud computing for real-time management of water resources. Environmental Modelling and Software. 93, 418-435.","Some or all applicable (available, third party request, author request)",Author Request,,"Cloud computing, may not be able to reproduce even if have data, model, and code.",,,,,,,,,,
269,Reviewer6,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.012,"Wingo, P.; Brookes, A.; Bolte, J. (2017) Modular and spatially explicit: A novel approach to system dynamics. Environmental Modelling and Software. 94, 48-62.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Hardware/Software requirements,Links to model do not work.,,,,,,,,,,
710,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.023,"Van Oijen, M.; Cameron, D.; Levy, P.E.; Preston, R. (2017) Correcting errors from spatial upscaling of nonlinear greenhouse gas flux models. Environmental Modelling and Software. 94, 157-165.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",,,,,,,,,,,R code is provided as a Figure. Terminate 
118,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.026,"Saagi, R.; Flores-Alsina, X.; Kroll, S.; Gernaey, K.V.; Jeppsson, U. (2017) A model library for simulation and benchmarking of integrated urban wastewater systems. Environmental Modelling and Software. 93, 282-295.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
350,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.028,"Bell, A.R. (2017) Informing decisions in agent-based models Ã¢â‚¬â€ A mobile update. Environmental Modelling and Software. 93, 310-321.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open",Mostly literature review. Supplemental material includes all data (about literature studies) used in article. But can't derive qualitative conclusions from those data. No Model/Code/Software,,,,,,,10,,,
207,Reviewer6,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.029,"Pontes, P.R.M.; Fan, F.M.; Fleischmann, A.S.; de Paiva, R.C.D.; Buarque, D.C.; Siqueira, V.A.; Jardim, P.F.; Sorribas, M.V.; Collischonn, W. (2017) MGB-IPH model for hydrological and hydraulic simulation of large floodplain river systems coupled with open source GIS. Environmental Modelling and Software. 94, 1-20.",Not specified where they got the data/where data is,,,Discusses recent improvements to the large-scale hydrological model MGB-IPH. Data in paper.,,,,,,,,,,
733,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.03.031,"Haghnegahdar, A.; Razavi, S. (2017) Insights into sensitivity analysis of Earth and environmental systems models: On the impact of parameter perturbation scale. Environmental Modelling and Software. 95, 115-131.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,5,,,
1923,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.04.003,"Belete, G.F.; Voinov, A.; Morales, J. (2017) Designing the Distributed Model Integration Framework â€“ DMIF. Environmental Modelling and Software. 94, 112-126.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Hardware/Software requirements,its unclear where exactly the source code is. They provided a general website for software availability and I cannot find the software or data for the examples they used,,,,,,,20,,,
408,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.05.001,"Rai, R.K.; Gopalan, H.; Sitaraman, J.; Mirocha, J.D.; Miller, W.O. (2017) A code-independent generalized actuator line model for wind farm aerodynamics over simple and complex terrain. Environmental Modelling and Software. 94, 172-185.","Some or all applicable (available, third party request, author request)","Third Party Request,Author Request",,Do input data provided.,,,,,,,12,,,
807,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.05.002,"Coron, L.; Thirel, G.; Delaigue, O.; Perrin, C.; AndrÃ©assian, V. (2017) The suite of lumped GR hydrological models in an R package. Environmental Modelling and Software. 94, 166-171.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software",,,the website:http://www.hydro.eaufrance.fr. where you get the data is in French !,,,,,,,,
296,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.05.003,"Housh, M. (2017) Non-probabilistic robust optimization approach for flood control system design. Environmental Modelling and Software. 95, 48-60.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,,,,
452,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.001,"Kerrou, J.; Deman, G.; Tacher, L.; Benabderrahmane, H.; Perrochet, P. (2017) Numerical and polynomial modelling to assess environmental and hydraulic impacts of the future geological radwaste repository in Meuse site (France). Environmental Modelling and Software. 97, 157-170.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,This method has been coded using the Scilab software but no description of where the code is at ,,,,,,,,,,The authors put all model parameters in two tables as an appendix 
149,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.008,"Su, D.; Ulrich Mayer, K.; MacQuarrie, K.T.B. (2017) Parallelization of MIN3P-THCm: A high performance computational framework for subsurface flow and reactive transport simulation. Environmental Modelling and Software. 95, 271-289.","Some or all applicable (available, third party request, author request)",Author Request,,Some sample code as images in appendix,,,,,,,5,,,
909,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.017,"Neuwirth, C. (2017) System dynamics simulations for data-intensive applications. Environmental Modelling and Software. 96, 140-145.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements",,Yes,,,repro,Yes,Yes,45,,,
909,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.017,"Neuwirth, C. (2017) System dynamics simulations for data-intensive applications. Environmental Modelling and Software. 96, 140-145.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements",,Yes,,,avail,No- Terminate,,,,,
1181,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.022,"Klise, K.A.; Bynum, M.; Moriarty, D.; Murray, R. (2017) A software framework for assessing the resilience of drinking water systems to disasters with an example earthquake case study. Environmental Modelling and Software. 95, 420-431.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Code/Model/Software,The paper introduces the python package and demonstrates its capabilities. Some methodological instructions are present but there are no specific information/link provided to use the package to generate results of case study.,,,,,,,10,,,
399,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.024,"Han, E.; Ines, A.V.M.; Baethgen, W.E. (2017) Climate-Agriculture-Modeling and Decision Tool (CAMDT): A software framework for climate risk management in agriculture. Environmental Modelling and Software. 95, 102-114.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Metadata to describe the code",,,,,,,,,,,Didn't try. Need input data used in manuscript.
64,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.031,"Miao, J.; Guan, Q.; Hu, S. (2017) pRPL + pGTIOL: The marriage of a parallel processing library and a parallel I/O library for big raster data. Environmental Modelling and Software. 96, 347-360.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",,,,,,,,,,,
444,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.032,"Nielsen, A.; Bolding, K.; Hu, F.; Trolle, D. (2017) An open source QGIS-based workflow for model application and experimentation with aquatic ecosystems. Environmental Modelling and Software. 95, 358-364.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Materials linked by unique and persistent identifiers,"Link to external website which takes you to a GitLab site to download. On GitLab, need to ask and be granted permission to download. Looks like there are directions to download. Not sure whether there are specific directions to re-generate hypothetical case in paper.",,,,,,,15,,,
4029,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.035,"Horsburgh, J.S.; Leonardo, M.E.; Abdallah, A.M.; Rosenberg, D.E. (2017) Measuring water use, conservation, and differences by gender using an inexpensive, high frequency metering system. Environmental Modelling and Software. 96, 83-94.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data",,Yes,,,repro,Yes,Yes,75,,,All the data and code was provided with easy to follow instructions. The code ran with some syntax error (Date/Time) but the results were reproduced successfully. Software availability/link isn't mentioned in the paper.
243,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.035,"Horsburgh, J.S.; Leonardo, M.E.; Abdallah, A.M.; Rosenberg, D.E. (2017) Measuring water use, conservation, and differences by gender using an inexpensive, high frequency metering system. Environmental Modelling and Software. 96, 83-94.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open  ",Source code for collection system on github. ,Yes,,,avail,No- Terminate,,,,,
579,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.036,"Kneis, D.; Petzoldt, T.; Berendonk, T.U. (2017) An R-package to boost fitness and life expectancy of environmental models. Environmental Modelling and Software. 96, 123-127.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Code/Model/Software,"Although there are instructions on how to install the developed R-Package, I cannot find the example data they used in the paper to demo the package. There are no directions on how to reproduce the figures in the paper",,,,,,,10,,,"although the package and repository seems to be reproducible, there is a need to basic and clear directions  on how to run the code to generate the figures in the paper"
309,Reviewer2,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.043,"Asadi, P.; Hosseini, S.M.; Ataie-Ashtiani, B.; Simmons, C.T. (2017) Fuzzy vulnerability mapping of urban groundwater systems to nitrate contamination. Environmental Modelling and Software. 96, 146-157.",Not specified where they got the data/where data is,,,"Nothing presented other than what is in the paper tables and figures. Would expect optimization model code, input data, results.",,,,,,,5,,,
240,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.049,"Quinn, J.D.; Reed, P.M.; Keller, K.; Xu, W.; Collingsworth, P.; Bailey, B.; Carlson Mazur, M.; Schaeffer, J.; Minsker, B. (2017) Detecting spatial patterns of rivermouth processes using a geostatistical framework for near-real-time analysis. Environmental Modelling and Software. 97, 72-85.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open",,Yes,,,avail,No- Terminate,,,,,
135,Reviewer6,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.049,"Quinn, J.D.; Reed, P.M.; Keller, K.; Xu, W.; Collingsworth, P.; Bailey, B.; Carlson Mazur, M.; Schaeffer, J.; Minsker, B. (2017) Detecting spatial patterns of rivermouth processes using a geostatistical framework for near-real-time analysis. Environmental Modelling and Software. 97, 72-85.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data",Had to install a few packages myself vs the code that ws suppose to install it self.,Yes,,,repro,Yes,Yes,90,,,r package.
1269,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.051,"Zhang, M.; Yue, P.; Wu, Z.; Ziebelin, D.; Wu, H.; Zhang, C. (2017) Model provenance tracking and inference for integrated environmental modelling. Environmental Modelling and Software. 96, 95-105.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",,,,,,,,,,,
1084,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.06.053,"Malard, J.J.; Inam, A.; Hassanzadeh, E.; Adamowski, J.; Tuy, H.A.; Melgar-QuiÃ±onez, H. (2017) Development of a software tool for rapid, reproducible, and stakeholder-friendly dynamic coupling of system dynamics and physically-based models. Environmental Modelling and Software. 96, 410-420.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data",Most of the documentation seems to be in a Latin language that I dont recognize. The source code is available but the it cost $750 to get the executable for academic use,No,the language for instructions is not English and the executable cost money   ,,,No- Terminate,,20,,,
111,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.07.006,"Vetrova, V.; Bardsley, E. (2017) A simple nonparametric index of bivariate association for environmental data exploration. Environmental Modelling and Software. 96, 283-290.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Code/Model/Software,The code is available at GitHub but gives many errors upon execution,,,,,,,20,,,
241,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.07.010,"Singer, A.; Gray, S.; Sadler, A.; Schmitt Olabisi, L.; Metta, K.; Wallace, R.; Lopez, M.C.; Introne, J.; Gorman, M.; Henderson, J. (2017) Translating community narratives into semi-quantitative models to understand the dynamics of socio-environmental crises. Environmental Modelling and Software. 97, 46-55.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request","Code/Model/Software,Hardware/Software requirements,Common file format /instructions to open","Presents software, which is freely available, but the models/data used as a case study are only available by contacting authors.",,,,,,,,,,
3508,Reviewer1,Environmental Modeling and Software,10.1016/j.envsoft.2017.07.018,"Kerrou, J.; Deman, G.; Tacher, L.; Benabderrahmane, H.; Perrochet, P. (2017) Numerical and polynomial modelling to assess environmental and hydraulic impacts of the future geological radwaste repository in Meuse site (France). Environmental Modelling and Software. 97, 157-170.",Not specified where they got the data/where data is,,,"""A calibration framework was applied upon a hydrogeological model which includes a large amount of data resulting from over two decades of site investigation, characterization, conceptualization and numerical modelling""",,,,,,,,,,there seems to be a large amount of data used and generated but the paper didnt mention where they can be found
56530,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.08.001,"Gustafson, E.J.; Miranda, B.R.; De Bruijn, A.M.G.; Sturtevant, B.R.; Kubiske, M.E. (2017) Do rising temperatures always increase forest productivity? Interacting effects of temperature, precipitation, cloudiness and soil texture on tree species growth and competition. Environmental Modelling and Software. 97, 171-183.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open","Some data provided in Supplementary Data, but no code",,,,,,,,,,
408,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.08.005,"Sattar, A.M.A.; Jasak, H.; Skuric, V. (2017) Three dimensional modeling of free surface flow and sediment transport with bed deformation using automatic mesh motion. Environmental Modelling and Software. 97, 303-317.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open",Unclear if data shown in study is identical to those in the user guide or included with software,Not sure (unclear materials.....hard to follow),Unclear if data shown in study is identical to those in the user guide or included with software,,avail,No- Terminate,,,,,
350,Reviewer4,Environmental Modeling and Software,10.1016/j.envsoft.2017.08.005,"Sattar, A.M.A.; Jasak, H.; Skuric, V. (2017) Three dimensional modeling of free surface flow and sediment transport with bed deformation using automatic mesh motion. Environmental Modelling and Software. 97, 303-317.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open",,Yes,,,repro,Yes,No (explain why on the next question),200,"Did not generate results,Hardware/software error","Could not install FOAM. Tried multiple approaches, could not.","This work may be reproducible, but I gave up after 2.5 hours"
545,Reviewer5,Environmental Modeling and Software,10.1016/j.envsoft.2017.08.011,"Diez-Sierra, J.; del Jesus, M. (2017) A rainfall analysis and forecasting tool. Environmental Modelling and Software. 97, 243-258.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
765,Reviewer3,Environmental Modeling and Software,10.1016/j.envsoft.2017.09.001,"Czaika, E.; Selin, N.E. (2017) Model use in sustainability policy making: An experimental study. Environmental Modelling and Software. 98, 54-62.",Not applicable - dataless paper/review paper,,,The paper uses experimental results based on a survey.,,,,,,,15,,,
